timestamp,average_value,lower_bound,upper_bound
2022-04-05T00:00:00Z,91.4,90.3,92.5
2022-04-06T00:00:00Z,93.7,90.5,98.1
2022-04-07T00:00:00Z,93.3,90.9,96.1
2022-04-08T00:00:00Z,93.3,90.7,96.3
2022-04-09T00:00:00Z,93.1,91.7,94.4
2022-04-10T00:00:00Z,94.1,93.3,94.7
2022-04-11T00:00:00Z,94.2,92.2,96.6
2022-04-12T00:00:00Z,91.6,90.4,92.4
2022-04-13T00:00:00Z,93.0,90.7,98.0
2022-04-14T00:00:00Z,93.2,92.3,94.5
2022-04-15T00:00:00Z,95.9,94.4,98.8
2022-04-16T00:00:00Z,93.0,90.4,95.7
2022-04-17T00:00:00Z,94.4,92.5,95.6
2022-04-18T00:00:00Z,91.6,90.4,93.1
2022-04-19T00:00:00Z,94.7,93.8,95.8
2022-04-20T00:00:00Z,96.0,95.2,97.0
2022-04-21T00:00:00Z,94.6,92.0,98.5
2022-04-22T00:00:00Z,94.6,92.9,96.8
2022-04-23T00:00:00Z,92.6,91.9,93.2
2022-04-24T00:00:00Z,94.4,93.0,95.6
2022-04-25T00:00:00Z,94.7,94.1,95.8
2022-04-26T00:00:00Z,93.8,91.8,95.4
2022-04-27T00:00:00Z,91.7,87.0,95.1
2022-04-28T00:00:00Z,93.2,91.2,95.7
2022-04-29T00:00:00Z,91.4,90.3,92.5
2022-04-30T00:00:00Z,93.1,92.4,93.6
2022-05-01T00:00:00Z,92.4,90.5,93.4
2022-05-02T00:00:00Z,93.8,91.8,96.8
2022-05-03T00:00:00Z,95.6,94.8,97.0
2022-05-04T00:00:00Z,92.7,90.5,95.5
2022-05-05T00:00:00Z,94.9,93.1,96.7
2022-05-06T00:00:00Z,92.9,91.6,94.1
2022-05-07T00:00:00Z,94.2,92.3,96.4
2022-05-08T00:00:00Z,93.4,91.8,94.9
2022-05-09T00:00:00Z,94.4,93.1,95.4
2022-05-10T00:00:00Z,92.5,91.4,93.1
2022-05-11T00:00:00Z,94.0,92.2,96.3
2022-05-12T00:00:00Z,93.0,90.2,96.2
2022-05-13T00:00:00Z,95.4,93.4,96.6
2022-05-14T00:00:00Z,95.7,94.9,96.3
2022-05-15T00:00:00Z,92.4,90.7,94.6
2022-05-16T00:00:00Z,94.1,92.5,95.7
2022-05-17T00:00:00Z,91.9,90.7,92.6
2022-05-18T00:00:00Z,93.3,90.7,96.1
2022-05-19T00:00:00Z,94.9,91.8,96.4
2022-05-20T00:00:00Z,94.2,93.3,94.8
2022-05-21T00:00:00Z,94.6,93.6,95.3
2022-05-22T00:00:00Z,95.7,94.9,96.6
2022-05-23T00:00:00Z,94.2,91.3,95.9
2022-05-24T00:00:00Z,95.2,93.6,96.0
