recorded_time,temperature,sensor_type
2022-10-23T00:00,-3.8163247032337253,UNKNOWN
2022-10-23T00:01,-3.9163247032337267,UNKNOWN
2022-10-23T00:02,-3.9163247032337267,UNKNOWN
2022-10-23T00:03,-4.016324703233728,UNKNOWN
2022-10-23T00:04,-4.016324703233728,UNKNOWN
2022-10-23T00:05,-3.9163247032337267,UNKNOWN
2022-10-23T00:06,-3.616324703233726,UNKNOWN
2022-10-23T00:07,-3.4163247032337267,UNKNOWN
2022-10-23T00:08,-3.516324703233728,UNKNOWN
2022-10-23T00:09,-3.616324703233726,UNKNOWN
2022-10-23T00:10,-3.9163247032337267,UNKNOWN
2022-10-23T00:11,-4.116324703233726,UNKNOWN
2022-10-23T00:12,-4.116324703233726,UNKNOWN
2022-10-23T00:13,-3.8163247032337253,UNKNOWN
2022-10-23T00:14,-3.616324703233726,UNKNOWN
2022-10-23T00:15,-3.3163247032337253,UNKNOWN
2022-10-23T00:16,-3.016324703233728,UNKNOWN
2022-10-23T00:17,-2.7163247032337274,UNKNOWN
2022-10-23T00:18,-2.4163247032337267,UNKNOWN
2022-10-23T00:19,-2.116324703233726,UNKNOWN
2022-10-23T00:20,-1.8163247032337253,UNKNOWN
2022-10-23T00:21,-1.5163247032337281,UNKNOWN
2022-10-23T00:22,-1.4163247032337267,UNKNOWN
2022-10-23T00:23,-1.2163247032337274,UNKNOWN
2022-10-23T00:24,-1.0163247032337281,UNKNOWN
2022-10-23T00:25,-0.9163247032337267,UNKNOWN
2022-10-23T00:26,-0.8163247032337253,UNKNOWN
2022-10-23T00:27,-0.616324703233726,UNKNOWN
2022-10-23T00:28,-0.616324703233726,UNKNOWN
2022-10-23T00:29,-0.5163247032337281,UNKNOWN
2022-10-23T00:30,-0.4163247032337267,UNKNOWN
2022-10-23T00:31,-0.21632470323372388,UNKNOWN
2022-10-23T00:32,-0.11632470323372956,UNKNOWN
2022-10-23T00:33,-0.11632470323372956,UNKNOWN
2022-10-23T00:34,-0.016324703233728144,UNKNOWN
2022-10-23T00:35,0.08367529676627328,UNKNOWN
2022-10-23T00:36,0.1836752967662747,UNKNOWN
2022-10-23T00:37,0.2836752967662761,UNKNOWN
2022-10-23T00:38,0.38367529676627044,UNKNOWN
2022-10-23T00:39,0.38367529676627044,UNKNOWN
2022-10-23T00:40,0.48367529676627186,UNKNOWN
2022-10-23T00:41,0.48367529676627186,UNKNOWN
2022-10-23T00:42,0.5836752967662733,UNKNOWN
2022-10-23T00:43,0.5836752967662733,UNKNOWN
2022-10-23T00:44,0.6836752967662747,UNKNOWN
2022-10-23T00:45,0.7836752967662761,UNKNOWN
2022-10-23T00:46,0.7836752967662761,UNKNOWN
