timestamp,average_value,lower_bound,upper_bound
2022-05-27T00:00:00Z,94.7,91.7,96.7
2022-05-28T00:00:00Z,94.8,92.7,97.4
2022-05-29T00:00:00Z,93.0,91.4,94.7
2022-05-30T00:00:00Z,95.9,95.4,96.6
2022-05-31T00:00:00Z,94.1,92.7,95.7
2022-06-01T00:00:00Z,93.1,90.5,97.0
2022-06-02T00:00:00Z,95.5,94.2,99.3
2022-06-03T00:00:00Z,95.2,90.0,99.6
2022-06-04T00:00:00Z,94.1,92.0,95.8
2022-06-05T00:00:00Z,95.5,93.7,97.3
2022-06-06T00:00:00Z,93.7,92.1,96.0
2022-06-07T00:00:00Z,93.2,91.2,95.5
2022-06-08T00:00:00Z,94.5,91.7,96.9
2022-06-09T00:00:00Z,94.0,93.4,94.6
2022-06-10T00:00:00Z,95.6,93.7,97.2
2022-06-11T00:00:00Z,93.7,92.2,95.4
2022-06-12T00:00:00Z,94.7,93.7,96.1
2022-06-13T00:00:00Z,94.9,93.4,96.9
2022-06-14T00:00:00Z,95.1,94.0,96.6
2022-06-15T00:00:00Z,94.9,93.8,96.3
2022-06-16T00:00:00Z,95.2,92.8,97.2
2022-06-17T00:00:00Z,94.8,92.4,97.1
2022-06-18T00:00:00Z,94.7,93.5,95.7
2022-06-19T00:00:00Z,95.2,93.4,96.5
2022-06-20T00:00:00Z,95.9,93.7,98.2
2022-06-21T00:00:00Z,93.2,92.1,94.1
2022-06-22T00:00:00Z,95.3,94.2,96.4
2022-06-23T00:00:00Z,95.3,89.8,98.0
2022-06-24T00:00:00Z,93.9,92.6,94.9
2022-06-25T00:00:00Z,94.3,91.5,96.5
2022-06-26T00:00:00Z,95.9,95.1,97.0
2022-06-27T00:00:00Z,95.8,93.0,97.5
2022-06-28T00:00:00Z,95.0,93.0,98.1
2022-06-29T00:00:00Z,95.7,95.3,96.3
2022-06-30T00:00:00Z,96.0,94.7,97.8
2022-07-01T00:00:00Z,95.0,92.4,97.2
2022-07-02T00:00:00Z,95.0,93.0,97.8
2022-07-03T00:00:00Z,95.3,92.4,98.3
2022-07-04T00:00:00Z,94.8,91.6,96.8
2022-07-05T00:00:00Z,95.7,94.1,97.1
2022-07-06T00:00:00Z,96.0,95.0,97.4
2022-07-07T00:00:00Z,97.0,95.2,99.1
2022-07-08T00:00:00Z,95.5,94.6,96.3
2022-07-09T00:00:00Z,95.3,94.2,96.4
2022-07-10T00:00:00Z,95.5,94.7,96.2
2022-07-11T00:00:00Z,93.9,91.4,96.1
2022-07-12T00:00:00Z,95.8,94.3,96.9
2022-07-13T00:00:00Z,96.1,95.5,97.3
2022-07-14T00:00:00Z,95.1,93.8,96.3
2022-07-15T00:00:00Z,93.7,91.5,95.7
2022-07-16T00:00:00Z,95.8,95.0,96.4
2022-07-17T00:00:00Z,96.5,95.4,97.7
2022-07-18T00:00:00Z,95.8,94.6,97.0
2022-07-19T00:00:00Z,95.9,94.4,97.8
2022-07-20T00:00:00Z,95.0,93.8,95.9
2022-07-21T00:00:00Z,94.7,92.3,96.8
2022-07-22T00:00:00Z,94.0,92.5,95.5
2022-07-23T00:00:00Z,95.7,95.3,96.2
2022-07-24T00:00:00Z,95.7,94.1,97.2
2022-07-25T00:00:00Z,94.8,93.8,96.8
2022-07-26T00:00:00Z,95.0,94.0,95.9
2022-07-27T00:00:00Z,95.8,94.4,97.1
2022-07-28T00:00:00Z,95.7,95.0,96.2
2022-07-29T00:00:00Z,93.8,91.4,95.4
2022-07-30T00:00:00Z,95.5,92.3,100.0
2022-07-31T00:00:00Z,96.4,95.1,98.0
2022-08-01T00:00:00Z,95.8,91.8,99.5
2022-08-02T00:00:00Z,95.3,93.5,97.2
2022-08-03T00:00:00Z,95.8,94.2,97.6
2022-08-04T00:00:00Z,94.9,93.0,96.8
2022-08-05T00:00:00Z,95.2,93.7,97.1
2022-08-06T00:00:00Z,96.7,95.4,98.4
2022-08-07T00:00:00Z,95.2,93.2,96.8
2022-08-08T00:00:00Z,96.9,95.9,98.2
2022-08-09T00:00:00Z,94.9,93.8,96.6
2022-08-10T00:00:00Z,94.7,92.6,96.4
2022-08-11T00:00:00Z,93.8,92.4,94.9
2022-08-12T00:00:00Z,95.5,94.1,96.6
2022-08-13T00:00:00Z,94.0,91.1,96.3
2022-08-14T00:00:00Z,96.4,96.3,96.6
2022-08-15T00:00:00Z,95.5,94.0,96.3
2022-08-16T00:00:00Z,94.4,90.9,96.6
2022-08-17T00:00:00Z,95.9,94.7,97.1
2022-08-18T00:00:00Z,97.0,93.8,99.1
2022-08-19T00:00:00Z,95.1,92.5,96.6
2022-08-20T00:00:00Z,95.6,94.0,96.9
2022-08-21T00:00:00Z,96.5,95.0,99.4
2022-08-22T00:00:00Z,96.3,94.6,98.4
2022-08-23T00:00:00Z,95.6,94.4,97.0
2022-08-24T00:00:00Z,95.3,94.2,96.8
2022-08-25T00:00:00Z,94.8,92.4,96.9
2022-08-26T00:00:00Z,95.8,94.1,98.0
2022-08-27T00:00:00Z,95.3,94.0,96.3
2022-08-28T00:00:00Z,92.2,89.8,95.1
2022-08-29T00:00:00Z,93.5,92.1,95.3
2022-08-30T00:00:00Z,96.1,94.1,98.3
2022-08-31T00:00:00Z,96.9,95.1,99.4
2022-09-01T00:00:00Z,94.9,92.7,95.9
2022-09-02T00:00:00Z,95.7,94.1,97.2
