timestamp,average_value,lower_bound,upper_bound
2023-06-29T00:00:00Z,95.7,94.6,97.4
2023-06-30T00:00:00Z,95.0,92.5,96.3
2023-07-01T00:00:00Z,92.7,91.4,95.1
2023-07-02T00:00:00Z,95.2,94.8,95.6
2023-07-03T00:00:00Z,94.6,91.4,97.2
2023-07-04T00:00:00Z,95.7,95.0,96.6
2023-07-05T00:00:00Z,95.3,93.4,97.3
2023-07-06T00:00:00Z,95.8,93.7,97.6
2023-07-07T00:00:00Z,95.4,93.5,97.7
2023-07-08T00:00:00Z,95.7,94.5,97.4
2023-07-09T00:00:00Z,94.6,90.7,96.5
2023-07-10T00:00:00Z,93.8,92.0,95.5
2023-07-11T00:00:00Z,92.7,89.6,95.0
2023-07-12T00:00:00Z,94.8,93.0,96.2
2023-07-13T00:00:00Z,94.6,92.3,96.2
2023-07-14T00:00:00Z,95.1,92.1,97.4
2023-07-15T00:00:00Z,95.0,92.3,98.7
2023-07-16T00:00:00Z,94.8,92.7,96.4
2023-07-17T00:00:00Z,95.4,93.9,97.6
2023-07-18T00:00:00Z,95.6,94.5,96.9
2023-07-19T00:00:00Z,94.2,91.8,96.1
2023-07-20T00:00:00Z,94.7,93.6,95.6
2023-07-21T00:00:00Z,97.3,96.7,98.4
2023-07-22T00:00:00Z,96.4,94.2,98.2
2023-07-23T00:00:00Z,96.5,93.5,100.0
2023-07-24T00:00:00Z,95.9,94.0,98.2
2023-07-25T00:00:00Z,95.3,93.9,97.3
2023-07-26T00:00:00Z,94.3,92.3,95.9
2023-07-27T00:00:00Z,95.9,94.5,97.0
2023-07-28T00:00:00Z,90.0,87.2,91.0
2023-07-29T00:00:00Z,94.9,90.8,97.3
2023-07-30T00:00:00Z,95.8,94.1,99.0
2023-07-31T00:00:00Z,96.3,94.6,97.2
2023-08-01T00:00:00Z,96.4,94.2,99.6
2023-08-02T00:00:00Z,93.9,92.1,95.5
2023-08-03T00:00:00Z,96.1,94.9,97.3
2023-08-04T00:00:00Z,96.3,92.5,98.9
2023-08-05T00:00:00Z,96.4,94.7,98.5
2023-08-06T00:00:00Z,96.0,93.9,98.6
2023-08-07T00:00:00Z,95.3,92.0,99.3
2023-08-08T00:00:00Z,95.5,94.3,97.7
2023-08-09T00:00:00Z,95.1,93.7,97.7
2023-08-10T00:00:00Z,94.6,93.7,95.7
2023-08-11T00:00:00Z,96.1,94.3,99.3
2023-08-12T00:00:00Z,96.7,95.1,98.6
2023-08-13T00:00:00Z,97.4,94.1,100.0
2023-08-14T00:00:00Z,94.3,93.2,95.7
2023-08-15T00:00:00Z,95.8,94.7,97.8
2023-08-16T00:00:00Z,95.8,92.1,99.2
2023-08-17T00:00:00Z,95.0,93.4,97.9
2023-08-19T00:00:00Z,94.8,93.0,96.4
2023-08-20T00:00:00Z,96.0,94.8,98.0
2023-08-21T00:00:00Z,96.9,94.1,98.9
2023-08-22T00:00:00Z,95.8,94.3,97.8
2023-08-23T00:00:00Z,95.5,93.8,97.1
2023-08-24T00:00:00Z,96.6,95.7,98.0
2023-08-25T00:00:00Z,94.7,92.2,96.5
2023-08-26T00:00:00Z,96.1,93.9,98.2
2023-08-27T00:00:00Z,94.9,92.8,98.3
2023-08-28T00:00:00Z,94.5,92.1,97.8
2023-08-29T00:00:00Z,96.5,94.8,98.6
2023-08-30T00:00:00Z,94.5,93.0,96.6
2023-08-31T00:00:00Z,94.7,90.9,98.1
2023-09-01T00:00:00Z,95.4,93.7,96.8
2023-09-02T00:00:00Z,95.2,93.4,97.2
2023-09-03T00:00:00Z,94.5,93.8,95.5
2023-09-04T00:00:00Z,95.3,93.7,97.5
2023-09-05T00:00:00Z,94.8,92.3,96.6
2023-09-06T00:00:00Z,95.0,94.6,95.3
2023-09-07T00:00:00Z,95.8,91.9,98.2
2023-09-09T00:00:00Z,95.1,92.7,97.7
2023-09-10T00:00:00Z,94.8,93.2,96.3
2023-09-11T00:00:00Z,95.0,92.8,96.6
2023-09-12T00:00:00Z,94.4,92.7,95.8
2023-09-13T00:00:00Z,95.7,94.4,98.4
2023-09-14T00:00:00Z,96.0,93.7,99.4
2023-09-15T00:00:00Z,94.1,91.5,96.8
2023-09-16T00:00:00Z,94.9,92.7,97.3
2023-09-17T00:00:00Z,96.9,94.4,99.6
2023-09-18T00:00:00Z,94.5,92.7,96.3
2023-09-19T00:00:00Z,94.1,92.3,96.5
2023-09-20T00:00:00Z,95.0,91.4,97.6
2023-09-21T00:00:00Z,95.2,92.8,99.1
2023-09-22T00:00:00Z,94.1,91.5,95.5
2023-09-23T00:00:00Z,94.2,91.5,96.7
2023-09-24T00:00:00Z,94.9,92.9,96.9
2023-09-25T00:00:00Z,95.7,94.1,98.6
2023-09-26T00:00:00Z,95.5,93.0,98.7
2023-09-27T00:00:00Z,92.4,90.2,95.1
2023-09-28T00:00:00Z,94.4,92.3,97.1
2023-09-29T00:00:00Z,95.5,93.7,98.8
2023-09-30T00:00:00Z,95.2,92.5,97.1
2023-10-01T00:00:00Z,95.1,93.8,96.8
2023-10-02T00:00:00Z,94.7,92.4,96.7
2023-10-03T00:00:00Z,95.5,93.5,98.0
2023-10-04T00:00:00Z,95.1,94.0,97.1
2023-10-05T00:00:00Z,96.7,94.5,99.4
2023-10-06T00:00:00Z,94.3,91.1,96.8
2023-10-07T00:00:00Z,95.1,93.0,98.3
