timestamp,average_value,lower_bound,upper_bound
2023-10-07T00:00:00Z,95.1,93.0,98.3
2023-10-08T00:00:00Z,95.2,93.0,98.0
2023-10-09T00:00:00Z,96.4,94.3,100.0
2023-10-10T00:00:00Z,95.7,93.4,98.8
2023-10-11T00:00:00Z,96.2,94.0,98.8
2023-10-12T00:00:00Z,95.6,94.3,97.0
2023-10-13T00:00:00Z,95.5,94.5,97.3
2023-10-14T00:00:00Z,95.9,94.4,98.0
2023-10-15T00:00:00Z,96.0,94.8,97.5
2023-10-16T00:00:00Z,95.3,92.5,97.0
2023-10-17T00:00:00Z,95.7,93.1,98.3
2023-10-18T00:00:00Z,95.5,93.9,98.3
2023-10-19T00:00:00Z,95.8,93.9,97.7
2023-10-20T00:00:00Z,95.8,92.7,98.8
2023-10-21T00:00:00Z,93.7,93.7,94.2
2023-10-22T00:00:00Z,97.5,95.0,100.0
2023-10-23T00:00:00Z,95.5,93.7,97.3
2023-10-24T00:00:00Z,94.4,92.9,96.1
2023-10-25T00:00:00Z,95.8,94.8,96.7
2023-10-26T00:00:00Z,95.6,93.8,98.1
2023-10-27T00:00:00Z,96.4,93.2,100.0
2023-10-28T00:00:00Z,96.5,95.4,98.2
2023-10-29T00:00:00Z,95.5,95.5,95.9
2023-10-30T00:00:00Z,96.0,95.1,97.1
2023-10-31T00:00:00Z,96.3,95.0,97.6
2023-11-01T00:00:00Z,96.1,95.2,97.5
2023-11-02T00:00:00Z,96.8,93.9,100.0
2023-11-03T00:00:00Z,96.1,94.5,98.3
2023-11-04T00:00:00Z,94.7,90.2,97.7
2023-11-05T00:00:00Z,95.4,94.3,97.0
2023-11-06T00:00:00Z,96.7,95.6,97.6
2023-11-07T00:00:00Z,94.9,92.7,96.4
2023-11-08T00:00:00Z,96.0,92.3,98.1
2023-11-09T00:00:00Z,96.5,94.0,98.4
2023-11-10T00:00:00Z,94.5,91.7,96.5
2023-11-11T00:00:00Z,95.1,93.4,96.7
2023-11-12T00:00:00Z,94.4,91.6,96.9
2023-11-13T00:00:00Z,96.0,93.6,97.7
2023-11-14T00:00:00Z,94.7,93.6,95.4
2023-11-15T00:00:00Z,96.2,93.6,98.5
2023-11-16T00:00:00Z,96.5,93.9,100.0
2023-11-17T00:00:00Z,95.7,94.3,97.6
2023-11-18T00:00:00Z,95.7,94.9,96.6
2023-11-19T00:00:00Z,95.7,93.2,98.8
2023-11-20T00:00:00Z,94.0,92.3,95.3
2023-11-21T00:00:00Z,95.9,94.1,98.7
2023-11-22T00:00:00Z,97.4,96.9,99.3
2023-11-23T00:00:00Z,94.8,91.9,96.8
2023-11-24T00:00:00Z,94.6,91.6,96.8
2023-11-25T00:00:00Z,94.4,91.5,96.0
2023-11-26T00:00:00Z,93.9,92.6,95.3
2023-11-27T00:00:00Z,95.5,93.8,97.1
2023-11-28T00:00:00Z,95.4,93.5,96.9
2023-11-29T00:00:00Z,93.9,90.5,98.1
2023-11-30T00:00:00Z,94.9,91.0,98.8
2023-12-01T00:00:00Z,94.5,92.4,96.5
2023-12-02T00:00:00Z,94.9,91.8,97.9
2023-12-03T00:00:00Z,96.3,93.7,99.0
2023-12-04T00:00:00Z,95.4,93.3,97.5
2023-12-05T00:00:00Z,95.9,94.5,97.6
2023-12-06T00:00:00Z,95.5,93.6,97.3
2023-12-07T00:00:00Z,94.7,92.5,96.8
2023-12-08T00:00:00Z,96.5,93.9,100.0
2023-12-09T00:00:00Z,94.8,92.3,96.7
2023-12-10T00:00:00Z,95.6,93.9,96.8
2023-12-11T00:00:00Z,94.3,91.6,96.9
2023-12-12T00:00:00Z,95.2,93.5,97.5
2023-12-13T00:00:00Z,95.7,93.4,99.2
2023-12-14T00:00:00Z,95.2,90.1,98.0
2023-12-15T00:00:00Z,94.4,93.2,96.2
2023-12-16T00:00:00Z,95.7,93.4,98.7
2023-12-17T00:00:00Z,94.0,90.5,96.6
2023-12-18T00:00:00Z,96.2,94.7,97.2
2023-12-19T00:00:00Z,95.8,94.8,97.4
2023-12-20T00:00:00Z,95.6,93.8,97.6
2023-12-21T00:00:00Z,95.5,94.6,96.6
2023-12-22T00:00:00Z,94.5,90.8,97.1
2023-12-23T00:00:00Z,95.4,93.7,97.8
2023-12-24T00:00:00Z,95.7,94.3,97.2
2023-12-25T00:00:00Z,95.2,93.4,98.0
2023-12-26T00:00:00Z,95.0,92.2,97.7
2023-12-27T00:00:00Z,96.1,93.2,98.7
2023-12-28T00:00:00Z,97.2,95.0,99.0
2023-12-29T00:00:00Z,95.8,92.1,99.2
2023-12-30T00:00:00Z,96.5,94.9,99.9
2024-01-01T00:00:00Z,95.6,91.4,97.5
2024-01-02T00:00:00Z,95.3,91.2,99.2
2024-01-03T00:00:00Z,95.3,94.3,97.0
2024-01-04T00:00:00Z,94.5,91.3,96.9
2024-01-05T00:00:00Z,95.3,93.3,97.0
2024-01-06T00:00:00Z,95.8,94.3,97.1
2024-01-07T00:00:00Z,95.0,93.9,96.2
2024-01-08T00:00:00Z,95.0,93.6,96.5
2024-01-10T00:00:00Z,95.3,93.7,96.7
2024-01-11T00:00:00Z,93.9,90.3,96.2
2024-01-12T00:00:00Z,95.8,94.4,97.3
2024-01-13T00:00:00Z,95.7,95.7,96.1
2024-01-14T00:00:00Z,95.4,93.0,96.9
2024-01-15T00:00:00Z,92.4,90.5,94.6
