session_id,timestamp,valid_data,activation,scl_avg
6fd05bf0-eea3-11ee-8080-808080808080,1711809621,false,false,0.0
6fd05bf0-eea3-11ee-8080-808080808080,1711809621,false,false,0.0
6fd05bf0-eea3-11ee-8080-808080808080,1711809621,false,false,0.0
6fd05bf0-eea3-11ee-8080-808080808080,1711809621,false,false,0.0
6fd05bf0-eea3-11ee-8080-808080808080,1711809621,false,false,0.0
6fd05bf0-eea3-11ee-8080-808080808080,1711809626,false,false,0.0
6fd05bf0-eea3-11ee-8080-808080808080,1711809626,false,false,0.0
6fd05bf0-eea3-11ee-8080-808080808080,1711809626,false,false,0.0
6fd05bf0-eea3-11ee-8080-808080808080,1711809626,false,false,0.0
6fd05bf0-eea3-11ee-8080-808080808080,1711809626,false,false,0.0
6fd05bf0-eea3-11ee-8080-808080808080,1711809631,false,false,0.0
6fd05bf0-eea3-11ee-8080-808080808080,1711809631,false,false,0.0
6fd05bf0-eea3-11ee-8080-808080808080,1711809631,false,false,0.0
6fd05bf0-eea3-11ee-8080-808080808080,1711809631,false,false,0.0
6fd05bf0-eea3-11ee-8080-808080808080,1711809631,false,false,0.0
6fd05bf0-eea3-11ee-8080-808080808080,1711809636,false,false,0.0
6fd05bf0-eea3-11ee-8080-808080808080,1711809636,false,false,0.0
6fd05bf0-eea3-11ee-8080-808080808080,1711809636,false,false,0.0
6fd05bf0-eea3-11ee-8080-808080808080,1711809636,false,false,0.0
6fd05bf0-eea3-11ee-8080-808080808080,1711809636,false,false,5.538818359375
6fd05bf0-eea3-11ee-8080-808080808080,1711809641,false,false,5.553382873535156
6fd05bf0-eea3-11ee-8080-808080808080,1711809641,false,false,5.590450286865234
6fd05bf0-eea3-11ee-8080-808080808080,1711809641,true,false,5.6572184562683105
6fd05bf0-eea3-11ee-8080-808080808080,1711809641,true,true,5.749973773956299
6fd05bf0-eea3-11ee-8080-808080808080,1711809641,false,true,5.889100074768066
6fd05bf0-eea3-11ee-8080-808080808080,1711809646,true,false,6.01977014541626
6fd05bf0-eea3-11ee-8080-808080808080,1711809646,true,false,6.166006088256836
